instance_id,repo,model,resolved,total_actions,timestamp
astropy__astropy-12907,astropy/astropy,gpt-4o,0,0,2026-02-13T15:18:15.122534
astropy__astropy-12907,astropy/astropy,gpt-4o,1,8,2026-02-13T15:20:32.487894
astropy__astropy-12907,astropy/astropy,gpt-4o,1,9,2026-02-13T15:22:25.199993
astropy__astropy-14182,astropy/astropy,gpt-4o,1,5,2026-02-13T15:23:55.047889
astropy__astropy-14365,astropy/astropy,gpt-4o,1,4,2026-02-13T15:25:06.655125
astropy__astropy-14995,astropy/astropy,gpt-4o,1,11,2026-02-13T15:26:35.818240
astropy__astropy-6938,astropy/astropy,gpt-4o,1,6,2026-02-13T15:27:30.114555
astropy__astropy-12907,astropy/astropy,gpt-4o,1,11,2026-02-13T15:31:00.598930
astropy__astropy-14182,astropy/astropy,gpt-4o,1,5,2026-02-13T15:31:26.426061
astropy__astropy-14365,astropy/astropy,gpt-4o,1,4,2026-02-13T15:31:41.683727
astropy__astropy-14995,astropy/astropy,gpt-4o,0,5,2026-02-13T15:32:03.419593
astropy__astropy-6938,astropy/astropy,gpt-4o,1,4,2026-02-13T15:32:39.409472
astropy__astropy-7746,astropy/astropy,gpt-4o,0,5,2026-02-13T15:33:37.457408
django__django-10914,django/django,gpt-4o,1,16,2026-02-13T15:37:16.918562
django__django-10924,django/django,gpt-4o,1,6,2026-02-13T15:39:39.571296
django__django-11001,django/django,gpt-4o,1,9,2026-02-13T15:42:17.047513
django__django-11019,django/django,gpt-4o,1,4,2026-02-13T15:45:02.128662
django__django-11179,django/django,gpt-4o,0,3,2026-02-13T16:16:58.123902
