instance_id,repo,base_commit,patch_path,tests_command,tests_exit_code,resolved,runtime_seconds,error_type,logs_path,patch_generated,eval_run_name,created_at
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,runs/quick_check/astropy__astropy-12907/patch.diff,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,32.466,patch_apply_failed,runs/quick_check/astropy__astropy-12907,1,quick_check,2026-02-16T18:47:28.891711
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,runs/quick_check/astropy__astropy-14182/patch.diff,python3 -m pytest -q astropy/io/ascii/tests/test_rst.py::test_rst_with_header_rows,,0,34.75,patch_apply_failed,runs/quick_check/astropy__astropy-14182,1,quick_check,2026-02-16T18:47:28.896530
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,runs/quick_check/astropy__astropy-14365/patch.diff,python3 -m pytest -q 'astropy/io/ascii/tests/test_qdp.py::test_roundtrip[True]',,0,32.534,patch_apply_failed,runs/quick_check/astropy__astropy-14365,1,quick_check,2026-02-16T18:47:28.896823
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,runs/quick_check/astropy__astropy-14995/patch.diff,python3 -m pytest -q astropy/nddata/mixins/tests/test_ndarithmetic.py::test_nddata_bitmask_arithmetic,,0,31.89,patch_apply_failed,runs/quick_check/astropy__astropy-14995,1,quick_check,2026-02-16T18:47:28.897083
astropy__astropy-6938,astropy/astropy,c76af9ed6bb89bfba45b9f5bc1e635188278e2fa,runs/quick_check/astropy__astropy-6938/patch.diff,python3 -m pytest -q astropy/io/fits/tests/test_checksum.py::TestChecksumFunctions::test_ascii_table_data astropy/io/fits/tests/test_table.py::TestTableFunctions::test_ascii_table,,0,28.681,patch_apply_failed,runs/quick_check/astropy__astropy-6938,1,quick_check,2026-02-16T18:47:28.897331
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,runs/part2_repro_limit5/astropy__astropy-12907/patch.diff,python3 -m pytest -q 'astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]' 'astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]',,0,25.317,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-12907,1,part2_repro_limit5,2026-02-21T16:36:53.466775
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,runs/part2_repro_limit5/astropy__astropy-14182/patch.diff,python3 -m pytest -q astropy/io/ascii/tests/test_rst.py::test_rst_with_header_rows,,0,9.659,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14182,1,part2_repro_limit5,2026-02-21T16:36:53.473398
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,runs/part2_repro_limit5/astropy__astropy-14365/patch.diff,python3 -m pytest -q 'astropy/io/ascii/tests/test_qdp.py::test_roundtrip[True]',,0,8.656,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14365,1,part2_repro_limit5,2026-02-21T16:36:53.473750
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,runs/part2_repro_limit5/astropy__astropy-14995/patch.diff,python3 -m pytest -q astropy/nddata/mixins/tests/test_ndarithmetic.py::test_nddata_bitmask_arithmetic,,0,8.903,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-14995,1,part2_repro_limit5,2026-02-21T16:36:53.474051
astropy__astropy-6938,astropy/astropy,c76af9ed6bb89bfba45b9f5bc1e635188278e2fa,runs/part2_repro_limit5/astropy__astropy-6938/patch.diff,python3 -m pytest -q astropy/io/fits/tests/test_checksum.py::TestChecksumFunctions::test_ascii_table_data astropy/io/fits/tests/test_table.py::TestTableFunctions::test_ascii_table,,0,8.964,patch_apply_failed,runs/part2_repro_limit5/astropy__astropy-6938,1,part2_repro_limit5,2026-02-21T16:36:53.474376
